SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,
176,Victor Gabriel,br BRA,DF,Internacional,21-072,2004,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
177,Antonio Galeano,py PAR,FW,CearÃ¡,25-109,2000,10.1,12,1.19,9,0,0,2,1,0,1,0.1,1,0,0,0,0,0,
178,Emerson Galego,br BRA,FW,MF,Juventude,25-333,1999,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,Mateo Gamarra,py PAR,DF,Cruzeiro,24-262,2000,1.7,1,0.58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
180,Ganso,br BRA,MF,Fluminense,35-270,1989,3.1,6,1.96,6,0,0,0,0,0,1,0.33,1,0,0,0,0,0,
181,MaurÃ­cio Garcez,br BRA,FW,MF,Juventude,28-115,1997,0.7,1,1.48,0,0,0,0,1,0,0,0,0,0,0,0,0,0
182,BenjamÃ­n GarrÃ©,ar ARG,FW,MF,Vasco da Gama,24-363,2000,2.9,10,3.42,8,1,0,1,0,0,1,0.34,1,0,0,0,0,0
183,Rodrigo Garro,ar ARG,MF,Corinthians,27-186,1998,1.5,9,6,5,2,0,1,1,0,0,0,0,0,0,0,0,0,
184,Gerson,br BRA,FW,MF,Flamengo,28-050,1997,7.9,23,2.91,21,1,1,0,0,0,4,0.51,4,0,0,0,0,0
185,AgustÃ­n Giay,ar ARG,DF,Palmeiras,21-174,2004,9.8,20,2.05,17,1,0,0,1,1,0,0,0,0,0,0,0,0,
186,Gil,br BRA,DF,Santos,38-027,1987,6,1,0.17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
187,Gilberto,br BRA,DF,Bahia,32-124,1993,8.7,19,2.19,17,0,0,0,2,0,1,0.12,1,0,0,0,0,0,
188,Gilberto,br BRA,FW,MF,Juventude,36-034,1989,4.3,6,1.4,5,0,0,1,0,0,1,0.23,1,0,0,0,0,0
189,Giovanny,br BRA,FW,MF,Juventude,27-293,1997,3.7,7,1.87,5,0,0,1,1,0,1,0.27,0,0,0,1,0,0
190,Daniel Giraldo,co COL,MF,Juventude,33-008,1992,5.5,5,0.91,4,0,0,0,0,1,1,0.18,1,0,0,0,0,0,
191,Leonardo Godoy,ar ARG,DF,Santos,30-072,1995,4.6,4,0.86,2,0,0,0,1,1,0,0,0,0,0,0,0,0,
192,Davi Goes,br BRA,MF,Juventude,20-017,2005,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
193,Fredi Gomes,br BRA,DF,Bahia,19-047,2006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
194,Igor Gomes,br BRA,MF,FW,AtlÃ©tico Mineiro,26-114,1999,3.9,13,3.31,10,1,0,2,0,0,2,0.51,1,0,0,1,0,0
195,Gustavo GÃ³mez,py PAR,DF,Palmeiras,32-064,1993,7.9,7,0.89,6,0,0,0,0,1,0,0,0,0,0,0,0,0,
196,Nuno GonÃ§alo Moreira,pt POR,FW,Vasco da Gama,26-023,1999,9.5,32,3.37,26,2,2,0,1,1,4,0.42,4,0,0,0,0,0,
197,Matheus GonÃ§alves,br BRA,FW,Flamengo,19-325,2005,0.4,3,7.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
198,Gregore,br BRA,MF,Botafogo (RJ),31-129,1994,9.6,21,2.19,18,1,0,0,0,2,1,0.1,1,0,0,0,0,0,
199,Guga,br BRA,DF,Fluminense,26-314,1998,2.7,9,3.28,6,1,0,1,1,0,1,0.36,0,1,0,0,0,0,
200,Guilherme,br BRA,FW,Santos,30-087,1995,8.5,23,2.7,12,3,4,3,1,0,0,0,0,0,0,0,0,0,
201,Guilherme,br BRA,DF,RB Bragantino,23-145,2002,2,2,0.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
202,Gustavinho,br BRA,MF,RB Bragantino,21-077,2004,0.8,5,6.16,3,2,0,0,0,0,1,1.23,1,0,0,0,0,0,
203,Gustavo,br BRA,GK,Juventude,32-121,1993,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204,Luiz Gustavo,br BRA,MF,SÃ£o Paulo,37-351,1987,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
205,Luiz Gustavo,br BRA,DF,Vasco da Gama,19-088,2006,3.2,1,0.31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
206,Ryan Gustavo,br BRA,MF,Corinthians,21-359,2003,2.3,3,1.32,1,0,0,0,1,1,0,0,0,0,0,0,0,0,
207,Lucas Halter,br BRA,DF,VitÃ³ria,25-068,2000,11,9,0.82,7,1,0,1,0,0,0,0,0,0,0,0,0,0,
208,HÃ©ctor,es ESP,FW,MF,Corinthians,29-298,1995,2.7,3,1.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
209,Henrique,br BRA,FW,SÃ£o Paulo,18-242,2006,0,1,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
210,Bruno Henrique,br BRA,FW,MF,Flamengo,34-191,1990,6.5,15,2.31,9,0,2,4,0,0,1,0.15,0,0,0,1,0,0
211,Bruno Henrique,br BRA,MF,Internacional,35-261,1989,6.4,8,1.25,6,0,0,1,1,0,0,0,0,0,0,0,0,0,
212,Dalbert Henrique,br BRA,DF,FW,Sport Recife,31-304,1993,1.2,3,2.45,3,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Gustavo Henrique,br BRA,DF,Corinthians,32-107,1993,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
214,Matheus Henrique,br BRA,MF,Cruzeiro,27-202,1997,2,4,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,
215,Paulo Henrique,br BRA,DF,Vasco da Gama,28-349,1996,9.7,26,2.67,18,1,3,4,0,0,4,0.41,3,0,1,0,0,0,
216,Pedro Henrique,br BRA,FW,CearÃ¡,35-023,1990,5,10,2,5,1,0,1,3,0,1,0.2,0,0,0,1,0,0,
217,Pedro Henrique,br BRA,DF,RB Bragantino,29-280,1995,11,12,1.09,11,0,0,0,1,0,3,0.27,3,0,0,0,0,0,
218,HÃ©rcules,br BRA,MF,Fluminense,24-262,2000,5.8,9,1.56,6,0,1,2,0,0,1,0.17,0,0,0,1,0,0,
219,Diogo Hereda,br BRA,DF,Sport Recife,26-292,1998,9.4,21,2.23,17,0,2,2,0,0,1,0.11,1,0,0,0,0,0,
220,Lucca Holanda,br BRA,FW,MF,Internacional,22-098,2003,1.8,4,2.24,2,0,2,0,0,0,0,0,0,0,0,0,0,0
221,Hugo,br BRA,DF,Corinthians,27-314,1997,1.7,3,1.75,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
222,Vitor Hugo,br BRA,DF,AtlÃ©tico Mineiro,34-050,1991,2.1,2,0.95,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
223,Hulk,br BRA,FW,MF,AtlÃ©tico Mineiro,38-349,1986,10.1,45,4.45,21,4,6,5,8,1,3,0.3,1,1,0,1,0,0
224,JosÃ© Hurtado,ec ECU,DF,RB Bragantino,23-198,2001,9.5,14,1.48,7,1,2,4,0,0,0,0,0,0,0,0,0,0,
225,Hyan,br BRA,MF,Santos,21-107,2004,0.1,1,6.92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
226,Iago,br BRA,DF,MF,Bahia,28-108,1997,2.3,3,1.3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
227,IgnÃ¡cio,br BRA,DF,Fluminense,28-220,1996,4.1,2,0.49,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
228,Juan Ignacio Dinenno,ar ARG,FW,Cruzeiro,30-315,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
229,Juan Ignacio Dinenno,ar ARG,FW,SÃ£o Paulo,30-315,1994,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
230,Isaque,br BRA,MF,Fluminense,18-076,2007,0.2,1,4.29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
231,ZÃ© Ivaldo,br BRA,DF,Santos,28-138,1997,10.5,6,0.57,3,1,0,1,0,1,3,0.29,1,1,0,1,0,0,
232,Jadson,br BRA,MF,Juventude,31-313,1993,9.9,20,2.02,15,0,1,1,1,2,3,0.3,3,0,0,0,0,0,
233,Jair,br BRA,MF,Vasco da Gama,30-317,1994,3.9,10,2.57,8,0,1,1,0,0,1,0.26,1,0,0,0,0,0,
234,Jamerson,br BRA,DF,VitÃ³ria,26-303,1998,11.4,29,2.54,17,8,2,1,1,0,4,0.35,2,1,0,0,1,0,
235,Janderson,br BRA,FW,MF,VitÃ³ria,26-064,1999,8.1,13,1.6,8,0,2,1,2,0,0,0,0,0,0,0,0,0
236,LÃ©o Jardim,br BRA,GK,Vasco da Gama,30-111,1995,12,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
237,Jeffinho,br BRA,MF,Botafogo (RJ),25-191,1999,0.6,6,9.64,4,0,1,1,0,0,2,3.21,2,0,0,0,0,0,
238,Jemerson,br BRA,DF,GrÃªmio,32-319,1992,8.6,3,0.35,2,0,0,1,0,0,0,0,0,0,0,0,0,0,
239,Jemmes,br BRA,DF,Mirassol,25-091,2000,11,5,0.45,2,1,1,1,0,0,0,0,0,0,0,0,0,0,
240,CaÃ­que de Jesus GonÃ§alves,br BRA,MF,Juventude,29-272,1995,3.5,5,1.42,4,0,0,0,1,0,0,0,0,0,0,0,0,0,
241,Igor Jesus,br BRA,FW,Botafogo (RJ),24-134,2001,9.7,23,2.37,15,0,1,6,1,0,1,0.1,0,0,0,1,0,0,
242,Maykon Jesus,br BRA,DF,VitÃ³ria,19-214,2005,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
243,John,br BRA,GK,Botafogo (RJ),29-146,1996,11,1,0.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
244,Jonathan,br BRA,DF,Cruzeiro,21-043,2004,3.2,3,0.95,2,0,0,0,0,1,0,0,0,0,0,0,0,0,
245,Kaio Jorge,br BRA,FW,Cruzeiro,23-166,2002,9.2,22,2.39,12,0,2,4,4,0,3,0.33,1,0,1,1,0,0,
246,JosÃ©,br BRA,DF,Cruzeiro,19-312,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
247,Willian JosÃ©,br BRA,FW,Bahia,33-228,1991,5.5,19,3.48,14,0,2,3,0,0,1,0.18,1,0,0,0,0,0,
248,Jhonatan Jowjow,br BRA,MF,RB Bragantino,22-303,2002,10.5,63,6.03,42,13,4,1,3,0,3,0.29,1,1,0,0,1,0,
249,Luciano Juba,br BRA,DF,Bahia,25-314,1999,10.9,33,3.02,22,8,2,1,0,0,6,0.55,5,0,1,0,0,0,
250,Juninho,br BRA,FW,Flamengo,28-230,1996,2.4,2,0.85,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
251,Juninho,br BRA,DF,Internacional,29-195,1995,5,4,0.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,
252,Kaiki,br BRA,DF,Cruzeiro,22-123,2003,11.9,21,1.76,14,2,1,3,0,1,3,0.25,1,0,0,2,0,0,
253,Walter Kannemann,ar ARG,DF,GrÃªmio,34-117,1991,3.7,5,1.36,2,0,0,2,1,0,1,0.27,0,0,0,0,1,0,
254,Kanu,br BRA,DF,Bahia,28-124,1997,1.1,4,3.53,4,0,0,0,0,0,0,0,0,0,0,0,0,0,
255,Kayke,br BRA,FW,Corinthians,21-072,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
256,Renato Kayser,br BRA,FW,VitÃ³ria,29-142,1996,4.3,5,1.15,3,0,0,2,0,0,0,0,0,0,0,0,0,0,
257,Kenji,br BRA,FW,Cruzeiro,19-160,2006,0.1,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
258,Keno,br BRA,FW,Fluminense,35-302,1989,1.1,6,5.63,6,0,0,0,0,0,1,0.94,1,0,0,0,0,0,
259,Kevyson,br BRA,DF,Santos,21-102,2004,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
260,BenjamÃ­n Kuscevic,cl CHI,DF,Fortaleza,29-068,1996,10.9,5,0.46,4,1,0,0,0,0,0,0,0,0,0,0,0,0,
261,Ignacio Laquintana,uy URU,FW,RB Bragantino,26-158,1999,2.5,2,0.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
262,JoaquÃ­n Lavega,uy URU,DF,Fluminense,20-156,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
263,LelÃª,br BRA,FW,CearÃ¡,27-281,1997,1.2,7,5.73,0,0,2,2,3,0,0,0,0,0,0,0,0,0,
264,Mauricio Lemos,uy URU,DF,Vasco da Gama,29-193,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
265,RubÃ©n Lezcano,py PAR,MF,Fluminense,21-150,2004,0.5,2,4.19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
266,Lima,br BRA,MF,Fluminense,29-028,1996,4.4,13,2.95,9,0,1,1,2,0,1,0.23,0,0,1,0,0,0,
267,Lucas Lima,br BRA,MF,CearÃ¡,25-005,2000,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
268,Lucas Lima,br BRA,MF,FW,Sport Recife,35-000,1990,8.7,52,6.01,34,12,2,3,1,0,3,0.35,2,1,0,0,0,0
269,Kauan Lindes,br BRA,MF,Botafogo (RJ),21-223,2003,0.3,2,6,2,0,0,0,0,0,1,3,1,0,0,0,0,0,
270,Lenny Lobato,br BRA,FW,Sport Recife,24-156,2001,2.7,7,2.58,2,0,2,1,1,1,0,0,0,0,0,0,0,0,
271,David Loiola,br BRA,DF,Botafogo (RJ),22-200,2002,5.5,4,0.72,4,0,0,0,0,0,0,0,0,0,0,0,0,0,
272,JosÃ© LÃ³pez,ar ARG,FW,Palmeiras,24-215,2000,5.8,9,1.56,5,0,0,0,4,0,1,0.17,0,0,0,0,1,0,
273,LourenÃ§o,br BRA,MF,CearÃ¡,27-305,1997,3,7,2.3,5,2,0,0,0,0,1,0.33,1,0,0,0,0,0,
274,LucÃ£o,br BRA,GK,RB Bragantino,24-133,2001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
275,Ayrton Lucas,br BRA,DF,Flamengo,28-020,1997,2.4,3,1.27,1,0,1,1,0,0,0,0,0,0,0,0,0,0,
276,Jean Lucas,br BRA,MF,Bahia,27-017,1998,7.8,13,1.68,10,0,1,2,0,0,1,0.13,1,0,0,0,0,0,
277,JoÃ£o Lucas,br BRA,DF,GrÃªmio,27-122,1998,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
278,ZÃ© Lucas,br BRA,MF,Sport Recife,17-108,2008,4.8,9,1.88,7,0,1,0,1,0,0,0,0,0,0,0,0,0,
279,Luciano,br BRA,MF,SÃ£o Paulo,32-052,1993,7.5,25,3.34,19,0,0,3,2,1,1,0.13,0,0,0,0,1,0,
280,Luighi,br BRA,FW,DF,Palmeiras,19-070,2006,0.6,5,8.04,3,0,1,1,0,0,1,1.61,0,0,0,1,0,0
281,Victor Luis,br BRA,DF,Vasco da Gama,32-016,1993,1,4,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,
282,LuisÃ£o,br BRA,DF,Santos,21-303,2003,1.9,2,1.07,0,1,0,1,0,0,0,0,0,0,0,0,0,0,
283,David Luiz,br BRA,DF,Fortaleza,38-078,1987,4.4,4,0.9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,
284,Guilherme Luiz,br BRA,FW,CearÃ¡,20-075,2005,1.3,4,3.1,3,0,0,0,1,0,1,0.78,1,0,0,0,0,0,
285,Lyanco,br BRA,DF,AtlÃ©tico Mineiro,28-158,1997,8,11,1.38,10,0,0,1,0,0,1,0.13,1,0,0,0,0,0,
286,Everton MaceiÃ³,br BRA,FW,MF,Mirassol,21-360,2003,1.5,8,5.45,6,0,1,0,1,0,0,0,0,0,0,0,0,0
287,Willian Machado,br BRA,DF,CearÃ¡,28-238,1996,10.8,6,0.56,4,1,1,0,0,0,0,0,0,0,0,0,0,0,
288,Talles Magno,br BRA,FW,MF,Corinthians,23-013,2002,4.3,15,3.49,7,0,1,4,3,0,2,0.47,1,0,1,0,0,0
289,Gustavo Maia,br BRA,FW,Sport Recife,24-168,2001,0.2,1,5.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
290,Pablo Maia,br BRA,MF,SÃ£o Paulo,23-180,2002,2.8,5,1.81,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
291,Thiago Maia,br BRA,MF,Internacional,28-108,1997,5.3,19,3.58,14,0,2,0,1,2,2,0.38,1,0,1,0,0,0,
292,LÃ©o Mana,br BRA,DF,Corinthians,21-094,2004,1.5,2,1.33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
293,Gustavo Mancha,br BRA,DF,Fortaleza,20-349,2004,8.9,11,1.24,8,0,0,1,1,1,1,0.11,0,0,0,1,0,0,
294,Eros Mancuso,ar ARG,DF,FW,Fortaleza,26-083,1999,6.6,12,1.81,9,1,2,0,0,0,1,0.15,1,0,0,0,0,0
295,Luis Mandaca,br BRA,MF,FW,Juventude,23-280,2001,7.8,19,2.44,16,0,0,0,1,2,1,0.13,1,0,0,0,0,0
296,Elias Manoel,br BRA,MF,FW,Botafogo (RJ),23-221,2001,0.3,2,6.67,2,0,0,0,0,0,0,0,0,0,0,0,0,0
297,Fernando MarÃ§al,br BRA,DF,Botafogo (RJ),36-140,1989,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
298,MarcÃ£o,br BRA,GK,Juventude,33-125,1992,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
299,JoÃ£o Marcelo,br BRA,FW,AtlÃ©tico Mineiro,20-085,2005,0.6,1,1.58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
300,ZÃ© Marcos,br BRA,DF,VitÃ³ria,27-158,1998,8.5,7,0.82,6,0,0,0,0,1,0,0,0,0,0,0,0,0,
301,Marinho,br BRA,FW,Fortaleza,35-041,1990,4.4,15,3.44,7,1,1,4,2,0,2,0.46,1,0,0,1,0,0,
302,Marlon,br BRA,DF,Cruzeiro,28-050,1997,0.1,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
303,Marlon,br BRA,DF,GrÃªmio,28-050,1997,8,13,1.62,8,3,1,1,0,0,0,0,0,0,0,0,0,0,
304,Lucca Marques,br BRA,FW,MF,SÃ£o Paulo,18-025,2007,1.3,2,1.61,0,0,1,0,1,0,0,0,0,0,0,0,0,0
305,Marquinhos,br BRA,FW,Cruzeiro,22-093,2003,1.4,7,4.96,4,2,0,0,1,0,0,0,0,0,0,0,0,0,
306,Juan MartÃ­n Lucero,ar ARG,FW,Fortaleza,33-221,1991,7.7,14,1.81,11,0,0,2,1,0,1,0.13,1,0,0,0,0,0,
307,Martinelli,br BRA,MF,Fluminense,24-060,2001,10.5,22,2.09,19,0,0,2,0,1,2,0.19,1,0,0,0,0,1,
308,Alejandro MartÃ­nez,ar ARG,FW,CearÃ¡,28-084,1997,0.5,1,1.84,1,0,0,0,0,0,1,1.84,1,0,0,0,0,0,
309,Emiliano MartÃ­nez,uy URU,MF,Palmeiras,25-326,1999,6.7,10,1.49,9,0,0,0,1,0,1,0.15,1,0,0,0,0,0,
310,Adriano Martins,br BRA,DF,Juventude,28-099,1997,4,4,1,2,1,0,1,0,0,1,0.25,0,1,0,0,0,0,
311,Andre Martins,br BRA,FW,GrÃªmio,23-204,2001,1,2,1.96,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
312,Matheus Martins,br BRA,FW,MF,Botafogo (RJ),21-358,2003,3.1,15,4.82,11,0,1,0,3,0,2,0.64,2,0,0,0,0,0
313,Gustavo Martins Santos,br BRA,DF,GrÃªmio,22-332,2002,2.2,4,1.83,1,1,1,1,0,0,1,0.46,0,0,0,1,0,0,
314,Gonzalo Mastriani,uy URU,FW,Botafogo (RJ),32-072,1993,2.8,7,2.47,5,0,0,0,1,1,0,0,0,0,0,0,0,0,
315,Matheusinho,br BRA,MF,VitÃ³ria,27-264,1997,8.2,21,2.57,15,1,1,1,2,1,1,0.12,0,0,0,1,0,0,
316,Matheuzinho,br BRA,DF,Corinthians,24-304,2000,8.9,9,1.01,8,0,0,1,0,0,0,0,0,0,0,0,0,0,
317,Ricardo Mathias,br BRA,FW,Internacional,18-349,2006,1.8,4,2.24,2,0,1,0,1,0,1,0.56,0,0,1,0,0,0,
318,Guillermo MatÃ­as FernÃ¡ndez,ar ARG,MF,Fortaleza,33-271,1991,3.2,8,2.52,7,1,0,0,0,0,2,0.63,1,1,0,0,0,0,
319,Mauricio,br BRA,MF,FW,Palmeiras,24-048,2001,2.9,13,4.4,12,0,0,1,0,0,0,0,0,0,0,0,0,0
320,Maycon,br BRA,MF,Corinthians,27-359,1997,5.8,11,1.9,10,1,0,0,0,0,0,0,0,0,0,0,0,0,
321,Mayke,br BRA,DF,Palmeiras,32-241,1992,1.3,1,0.74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
322,Luca Meirelles,br BRA,MF,FW,Santos,18-116,2007,0.2,1,4.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0
323,Memphis,nl NED,FW,Corinthians,31-146,1994,7,39,5.57,24,7,3,4,1,0,5,0.71,4,1,0,0,0,0,
324,Nathan Mendes,br BRA,DF,RB Bragantino,22-324,2002,1.1,2,1.82,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
325,Vinicius MendonÃ§a,br BRA,FW,RB Bragantino,21-139,2004,7.3,19,2.61,10,0,4,0,5,0,2,0.27,2,0,0,0,0,0,
326,Jean Meneses,cl CHI,FW,Vasco da Gama,32-115,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
327,Gabriel Menino,br BRA,MF,AtlÃ©tico Mineiro,24-283,2000,3.9,13,3.34,11,2,0,0,0,0,2,0.51,1,1,0,0,0,0,
328,Micael,br BRA,DF,Palmeiras,24-331,2000,6,5,0.83,4,0,0,0,1,0,1,0.17,0,0,0,0,1,0,
329,Michael,br BRA,FW,Flamengo,29-119,1996,4.9,24,4.89,19,1,2,2,0,0,5,1.02,4,0,0,1,0,0,
330,Fernando Miguel,br BRA,GK,CearÃ¡,40-157,1985,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
331,Moises,br BRA,FW,MF,Fortaleza,28-310,1996,1.6,6,3.86,5,0,0,1,0,0,1,0.64,1,0,0,0,0,0
332,Miguel Monsalve,co COL,FW,MF,GrÃªmio,21-132,2004,3.1,12,3.83,8,2,0,0,2,0,1,0.32,1,0,0,0,0,0
333,AnÃ­bal Moreno,ar ARG,MF,Palmeiras,26-057,1999,3.9,5,1.28,4,1,0,0,0,0,0,0,0,0,0,0,0,0,
334,Henry Mosquera,co COL,FW,RB Bragantino,23-236,2001,3.6,14,3.89,11,0,2,0,1,0,0,0,0,0,0,0,0,0,
335,Gustavo Mosquito,br BRA,FW,MF,VitÃ³ria,27-305,1997,5.3,11,2.06,10,1,0,0,0,0,3,0.56,3,0,0,0,0,0
336,Hugo Moura,br BRA,MF,Vasco da Gama,27-187,1998,9.5,14,1.47,12,0,0,1,1,0,3,0.31,2,0,0,0,1,0,
337,Lucas Moura,br BRA,FW,SÃ£o Paulo,32-330,1992,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
338,Neto Moura,br BRA,MF,Mirassol,28-337,1996,7.2,7,0.98,5,1,0,1,0,0,0,0,0,0,0,0,0,0,
339,Lucas Mugni,ar ARG,MF,CearÃ¡,33-178,1992,7.9,29,3.68,18,8,1,0,1,1,4,0.51,2,2,0,0,0,0,
340,Alex Muralha,br BRA,GK,Mirassol,35-241,1989,6,1,0.17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
341,Nata,br BRA,MF,Juventude,24-034,2001,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
342,Natanael,br BRA,DF,AtlÃ©tico Mineiro,23-185,2002,9.9,15,1.51,12,0,1,1,1,0,0,0,0,0,0,0,0,0,
343,Nathan,br BRA,DF,Internacional,23-307,2001,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
344,Nathan,br BRA,MF,FW,GrÃªmio,29-118,1996,1,4,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0
345,Kaiky Naves,br BRA,DF,Palmeiras,23-062,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
346,Negueba,br BRA,FW,Mirassol,25-218,1999,4.1,13,3.15,10,0,1,1,1,0,0,0,0,0,0,0,0,0,
347,NenÃª,br BRA,MF,FW,Juventude,43-355,1981,2.2,8,3.67,3,2,0,2,1,0,0,0,0,0,0,0,0,0
348,Neris,br BRA,DF,VitÃ³ria,33-022,1992,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
349,Rodrigo Nestor,br BRA,MF,Bahia,24-334,2000,2.6,6,2.31,5,0,1,0,0,0,0,0,0,0,0,0,0,0,
350,JosÃ© Vitor Silva Neves,br BRA,FW,Mirassol,25-068,2000,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
351,Newton,br BRA,MF,Botafogo (RJ),25-119,2000,1.3,2,1.59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
352,Neymar,br BRA,MF,FW,Santos,33-154,1992,2,11,5.5,5,1,3,0,2,0,0,0,0,0,0,0,0,0
353,Nicolas,br BRA,DF,CearÃ¡,28-135,1997,2.1,9,4.2,6,2,1,0,0,0,1,0.47,1,0,0,0,0,0,
354,Nonato,br BRA,MF,Fluminense,27-128,1998,3.9,7,1.81,5,1,0,0,1,0,0,0,0,0,0,0,0,0,
355,SÃ©rgio Oliveira,pt POR,MF,Sport Recife,33-037,1992,6,16,2.68,10,1,1,2,2,0,2,0.34,2,0,0,0,0,0,
356,Cauly Oliveira Souza,br BRA,MF,FW,Bahia,29-297,1995,5.2,13,2.52,10,2,0,0,1,0,3,0.58,3,0,0,0,0,0
357,Cristian Olivera,uy URU,FW,GrÃªmio,23-083,2002,6.9,14,2.04,7,0,3,1,3,0,0,0,0,0,0,0,0,0,
358,Christian Ortiz,ar ARG,MF,Sport Recife,32-323,1992,2,5,2.51,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
359,Leo Ortiz,br BRA,DF,Flamengo,29-187,1996,10,11,1.1,11,0,0,0,0,0,1,0.1,1,0,0,0,0,0,
360,Oscar,br BRA,FW,MF,SÃ£o Paulo,33-303,1991,1.9,8,4.24,4,4,0,0,0,0,0,0,0,0,0,0,0,0
361,Osvaldo,br BRA,FW,MF,VitÃ³ria,38-089,1987,3,19,6.38,9,7,2,1,0,0,1,0.34,0,1,0,0,0,0
362,Luis OtÃ¡vio,br BRA,MF,FW,Internacional,18-088,2007,0.9,3,3.46,3,0,0,0,0,0,0,0,0,0,0,0,0,0
363,JoÃ£o Othavio Basso,br BRA,DF,Santos,28-177,1997,2.8,2,0.73,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
364,Pablo,br BRA,FW,Sport Recife,33-016,1992,5.9,11,1.86,8,0,0,2,1,0,0,0,0,0,0,0,0,0,
365,Ruan Pablo,br BRA,FW,Bahia,16-351,2008,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
366,Bruno Pacheco,br BRA,DF,Fortaleza,33-213,1991,3,5,1.67,3,1,0,0,0,1,0,0,0,0,0,0,0,0,
