SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,
42,Aylon,br BRA,FW,CearÃ¡,33-093,1992,2.5,8,3.23,6,0,2,0,0,0,2,0.81,1,0,1,0,0,0,
43,Matheus Babi,br BRA,FW,Juventude,27-356,1997,1.2,3,2.5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,
44,Matheus Bahia,br BRA,DF,CearÃ¡,25-332,1999,6.9,14,2.04,10,3,0,0,1,0,1,0.15,1,0,0,0,0,0,
45,Gabriel Baralhas,br BRA,MF,DF,VitÃ³ria,26-272,1998,7.9,13,1.64,12,0,0,0,1,0,2,0.25,2,0,0,0,0,0
46,Danilo Barbosa,br BRA,DF,MF,Botafogo (RJ),29-131,1996,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Diogo Barbosa,br BRA,DF,FW,Fortaleza,32-326,1992,3.4,6,1.76,5,0,0,0,1,0,0,0,0,0,0,0,0,0
48,Gabriel Barbosa,br BRA,FW,MF,Cruzeiro,28-313,1996,3.5,7,2.01,6,0,0,1,0,0,3,0.86,2,0,0,1,0,0
49,Lucas Barbosa,br BRA,FW,RB Bragantino,24-137,2001,7.2,7,0.98,5,0,0,0,2,0,4,0.56,3,0,0,0,1,0,
50,Alexander Barboza,ar ARG,DF,Botafogo (RJ),30-115,1995,5,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,Chrystian Barletta,br BRA,FW,MF,Sport Recife,24-004,2001,8.8,24,2.74,13,1,4,2,3,1,0,0,0,0,0,0,0,0
52,Ãlvaro Barreal,ar ARG,FW,MF,Santos,24-326,2000,6.6,18,2.73,12,3,0,2,1,0,1,0.15,1,0,0,0,0,0
53,Enmerson Batalla,co COL,FW,MF,Juventude,24-009,2001,9.1,17,1.88,13,1,1,1,1,0,1,0.11,1,0,0,0,0,0
54,Paulo Baya,br BRA,MF,FW,Fluminense,25-348,1999,0.4,1,2.37,1,0,0,0,0,0,1,2.37,1,0,0,0,0,0
