"Rk,Player,Nation,Pos,Squad,Age,Born,90s,""Gls"
549,Vitinho,br BRA,FW,Internacional,26-105,1999,4.2,0,7,1,14.3,1.68,0.24,0.00,0.00,14.3,0,0,0
550,Tiago Volpi,br BRA,GK,Grêmio,34-208,1990,13.0,0,0,0,,0.00,0.00,,,,0,0,0
551,Wagner,br BRA,DF,Grêmio,25-357,1999,12.3,0,4,4,100.0,0.32,0.32,0.00,0.00,12.3,0,0,0
552,Walace,br BRA,MF,Cruzeiro,30-102,1995,1.2,0,0,0,,0.00,0.00,,,,0,0,0
553,Walter,br BRA,GK,Mirassol,37-239,1987,5.0,0,0,0,,0.00,0.00,,,,0,0,0
"554,Wanderson,br BRA,""FW,MF"",Cruzeiro,30-281,1994,10.5,0,23,8,34.8,2.20,0.76,0.00,0.00,20.6,0,0,0"
555,José Welison,br BRA,MF,Fortaleza,30-126,1995,4.7,0,4,0,0.0,0.85,0.00,0.00,,27.1,1,0,0
556,Wendell,br BRA,DF,São Paulo,31-360,1993,4.6,0,2,0,0.0,0.43,0.00,0.00,,21.9,0,0,0
557,Wesley,br BRA,DF,Flamengo,21-312,2003,8.9,0,8,1,12.5,0.90,0.11,0.00,0.00,24.2,0,0,0
"558,Wesley,br BRA,""FW,MF"",Internacional,26-107,1999,9.3,0,20,5,25.0,2.14,0.54,0.00,0.00,18.9,0,0,0"
559,Wéverton,br BRA,GK,Palmeiras,37-214,1987,11.0,0,0,0,,0.00,0.00,,,,0,0,0
560,William,br BRA,DF,Cruzeiro,30-103,1995,6.1,0,6,2,33.3,0.99,0.33,0.00,0.00,20.9,1,0,0
561,Willian,br BRA,MF,Vitória,32-060,1993,2.8,0,6,1,16.7,2.11,0.35,0.00,0.00,16.3,0,0,0
"562,Estêvão Willian,br BRA,""MF,FW"",Palmeiras,18-082,2007,9.2,0,19,2,10.5,02.06,0.22,0.00,0.00,20.0,2,0,0"
"563,Mateus Xavier,br BRA,""FW,MF"",Santos,18-016,2007,0.4,0,0,0,,0.00,0.00,,,,0,0,0"
564,Yago,br BRA,MF,Mirassol,30-162,1995,4.1,0,5,0,0.0,1.22,0.00,0.00,,21.8,0,0,0
565,Yago,br BRA,MF,Internacional,18-160,2007,0.8,0,0,0,,0.00,0.00,,,,0,0,0
566,Lukas Zuccarello,br BRA,FW,Vasco da Gama,18-225,2006,0.3,0,0,0,,0.00,0.00,,,,0,0,0
567,Jefinho,,,Sport Recife,,,0.3,0,1,0,0.0,3.91,0.00,0.00,,,,0,0
